Item,Package,Title,Rows,Cols,n_binary,n_character,n_factor,n_logical,n_numeric,CSV,Doc
nhtemp,datasets,Average Yearly Temperatures in New Haven,60,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/nhtemp.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/nhtemp.html
Nile,datasets,Flow of the River Nile,100,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/Nile.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/Nile.html
nottem,datasets,"Average Monthly Temperatures at Nottingham, 1920-1939",240,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/nottem.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/nottem.html
npk,datasets,"Classical N, P, K Factorial Experiment",24,5,3,0,4,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/npk.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/npk.html
occupationalStatus,datasets,Occupational Status of Fathers and their Sons,64,3,0,0,2,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/occupationalStatus.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/occupationalStatus.html
Orange,datasets,Growth of Orange Trees,35,3,0,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/Orange.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/Orange.html
OrchardSprays,datasets,Potency of Orchard Sprays,64,4,0,0,1,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/OrchardSprays.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/OrchardSprays.html
PlantGrowth,datasets,Results from an Experiment on Plant Growth,30,2,0,0,1,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/PlantGrowth.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/PlantGrowth.html
precip,datasets,Annual Precipitation in US Cities,70,1,0,0,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/precip.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/precip.html
presidents,datasets,Quarterly Approval Ratings of US Presidents,120,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/presidents.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/presidents.html
pressure,datasets,Vapor Pressure of Mercury as a Function of Temperature,19,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/pressure.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/pressure.html
Puromycin,datasets,Reaction Velocity of an Enzymatic Reaction,23,3,1,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/Puromycin.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/Puromycin.html
quakes,datasets,Locations of Earthquakes off Fiji,1000,5,0,0,0,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/quakes.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/quakes.html
randu,datasets,Random Numbers from Congruential Generator RANDU,400,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/randu.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/randu.html
rivers,datasets,Lengths of Major North American Rivers,141,1,0,0,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/rivers.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/rivers.html
rock,datasets,Measurements on Petroleum Rock Samples,48,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/rock.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/rock.html
Seatbelts,datasets,Road Casualties in Great Britain 1969-84,192,8,1,0,0,0,8,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/Seatbelts.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/Seatbelts.html
sleep,datasets,Student's Sleep Data,20,3,1,0,2,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/sleep.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/sleep.html
stackloss,datasets,Brownlee's Stack Loss Plant Data,21,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/stackloss.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/stackloss.html
sunspot.month,datasets,"Monthly Sunspot Data, from 1749 to ""Present""",3177,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/sunspot.month.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/sunspot.month.html
sunspot.year,datasets,"Yearly Sunspot Data, 1700-1988",289,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/sunspot.year.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/sunspot.year.html
sunspots,datasets,"Monthly Sunspot Numbers, 1749-1983",2820,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/sunspots.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/sunspots.html
swiss,datasets,Swiss Fertility and Socioeconomic Indicators (1888) Data,47,6,0,0,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/swiss.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/swiss.html
Theoph,datasets,Pharmacokinetics of Theophylline,132,5,0,0,1,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/Theoph.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/Theoph.html
Titanic,datasets,Survival of passengers on the Titanic,32,5,3,0,4,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/Titanic.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/Titanic.html
ToothGrowth,datasets,The Effect of Vitamin C on Tooth Growth in Guinea Pigs,60,3,1,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/ToothGrowth.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/ToothGrowth.html
treering,datasets,"Yearly Treering Data, -6000-1979",7980,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/treering.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/treering.html
trees,datasets,"Diameter, Height and Volume for Black Cherry Trees",31,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/trees.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/trees.html
UCBAdmissions,datasets,Student Admissions at UC Berkeley,24,4,2,0,3,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/UCBAdmissions.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/UCBAdmissions.html
UKDriverDeaths,datasets,Road Casualties in Great Britain 1969-84,192,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/UKDriverDeaths.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/UKDriverDeaths.html
UKgas,datasets,UK Quarterly Gas Consumption,108,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/UKgas.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/UKgas.html
USAccDeaths,datasets,Accidental Deaths in the US 1973-1978,72,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/USAccDeaths.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/USAccDeaths.html
USArrests,datasets,Violent Crime Rates by US State,50,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/USArrests.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/USArrests.html
USJudgeRatings,datasets,Lawyers' Ratings of State Judges in the US Superior Court,43,12,0,0,0,0,12,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/USJudgeRatings.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/USJudgeRatings.html
USPersonalExpenditure,datasets,Personal Expenditure Data,5,5,0,0,0,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/USPersonalExpenditure.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/USPersonalExpenditure.html
uspop,datasets,Populations Recorded by the US Census,19,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/uspop.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/uspop.html
VADeaths,datasets,Death Rates in Virginia (1940),5,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/VADeaths.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/VADeaths.html
volcano,datasets,Topographic Information on Auckland's Maunga Whau Volcano,87,61,0,0,0,0,61,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/volcano.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/volcano.html
warpbreaks,datasets,The Number of Breaks in Yarn during Weaving,54,3,1,0,2,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/warpbreaks.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/warpbreaks.html
women,datasets,Average Heights and Weights for American Women,15,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/women.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/women.html
WorldPhones,datasets,The World's Telephones,7,7,0,0,0,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/WorldPhones.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/WorldPhones.html
WWWusage,datasets,Internet Usage per Minute,100,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/datasets/WWWusage.csv,https://vincentarelbundock.github.io/Rdatasets/doc/datasets/WWWusage.html
band_instruments,dplyr,Band membership,3,2,1,2,0,0,0,https://vincentarelbundock.github.io/Rdatasets/csv/dplyr/band_instruments.csv,https://vincentarelbundock.github.io/Rdatasets/doc/dplyr/band_instruments.html
band_instruments2,dplyr,Band membership,3,2,1,2,0,0,0,https://vincentarelbundock.github.io/Rdatasets/csv/dplyr/band_instruments2.csv,https://vincentarelbundock.github.io/Rdatasets/doc/dplyr/band_instruments2.html
band_members,dplyr,Band membership,3,2,1,2,0,0,0,https://vincentarelbundock.github.io/Rdatasets/csv/dplyr/band_members.csv,https://vincentarelbundock.github.io/Rdatasets/doc/dplyr/band_members.html
starwars,dplyr,Starwars characters,87,14,1,8,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/dplyr/starwars.csv,https://vincentarelbundock.github.io/Rdatasets/doc/dplyr/starwars.html
storms,dplyr,Storm tracks data,10010,13,0,2,1,0,10,https://vincentarelbundock.github.io/Rdatasets/csv/dplyr/storms.csv,https://vincentarelbundock.github.io/Rdatasets/doc/dplyr/storms.html
acidiq,drc,Acifluorfen and diquat tested on Lemna minor.,180,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/drc/acidiq.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/acidiq.html
algae,drc,Volume of algae as function of increasing concentrations of a herbicide,14,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/algae.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/algae.html
auxins,drc,Effect of technical grade and commercially formulated auxin herbicides,150,5,0,0,0,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/drc/auxins.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/auxins.html
chickweed,drc,Germination of common chickweed (_Stellaria media_),35,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/drc/chickweed.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/chickweed.html
chickweed0,drc,Germination of common chickweed (_Stellaria media_),34,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/chickweed0.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/chickweed0.html
daphnids,drc,Daphnia test,16,4,1,0,1,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/drc/daphnids.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/daphnids.html
decontaminants,drc,Performance of decontaminants used in the culturing of a micro-organism,128,3,1,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/decontaminants.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/decontaminants.html
deguelin,drc,Deguelin applied to chrysanthemum aphis,6,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/drc/deguelin.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/deguelin.html
earthworms,drc,Earthworm toxicity test,35,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/drc/earthworms.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/earthworms.html
etmotc,drc,Effect of erythromycin on mixed sewage microorganisms,57,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/drc/etmotc.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/etmotc.html
finney71,drc,Example from Finney (1971),6,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/drc/finney71.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/finney71.html
G.aparine,drc,Herbicide applied to Galium aparine,240,3,1,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/G.aparine.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/G.aparine.html
germination,drc,Germination of three crops,192,5,0,0,1,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/drc/germination.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/germination.html
glymet,drc,Glyphosate and metsulfuron-methyl tested on algae.,113,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/drc/glymet.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/glymet.html
H.virescens,drc,Mortality of tobacco budworms,12,4,1,0,1,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/drc/H.virescens.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/H.virescens.html
heartrate,drc,Heart rate baroreflexes for rabbits,18,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/heartrate.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/heartrate.html
leaflength,drc,Leaf length of barley,42,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/leaflength.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/leaflength.html
lepidium,drc,Dose-response profile of degradation of agrochemical using lepidium,42,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/lepidium.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/lepidium.html
lettuce,drc,Hormesis in lettuce plants,14,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/lettuce.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/lettuce.html
M.bahia,drc,Effect of an effluent on the growth of mysid shrimp,40,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/M.bahia.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/M.bahia.html
mecter,drc,Mechlorprop and terbythylazine tested on Lemna minor,102,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/drc/mecter.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/mecter.html
metals,drc,Data from heavy metal mixture experiments,543,3,0,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/metals.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/metals.html
methionine,drc,Weight gain for different methionine sources,9,3,0,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/methionine.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/methionine.html
nasturtium,drc,Dose-response profile of degradation of agrochemical using nasturtium,42,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/nasturtium.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/nasturtium.html
O.mykiss,drc,Test data from a 21 day fish test,70,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/O.mykiss.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/O.mykiss.html
P.promelas,drc,Effect of sodium pentachlorophenate on growth of fathead minnow,24,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/P.promelas.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/P.promelas.html
RScompetition,drc,Competition between two biotypes,49,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/drc/RScompetition.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/RScompetition.html
ryegrass,drc,Effect of ferulic acid on growth of ryegrass,24,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/ryegrass.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/ryegrass.html
S.alba,drc,Potency of two herbicides,68,3,1,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/S.alba.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/S.alba.html
S.capricornutum,drc,Effect of cadmium on growth of green alga,18,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/S.capricornutum.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/S.capricornutum.html
secalonic,drc,Root length measurements,7,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/secalonic.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/secalonic.html
selenium,drc,Data from toxicology experiments with selenium,25,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/drc/selenium.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/selenium.html
spinach,drc,Inhibition of photosynthesis,105,4,1,0,1,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/drc/spinach.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/spinach.html
terbuthylazin,drc,The effect of terbuthylazin on growth rate,30,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/terbuthylazin.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/terbuthylazin.html
vinclozolin,drc,Vinclozolin from AR in vitro assay,53,3,0,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/drc/vinclozolin.csv,https://vincentarelbundock.github.io/Rdatasets/doc/drc/vinclozolin.html
Accident,Ecdat,Ship Accidents,40,5,1,0,3,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Accident.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Accident.html
AccountantsAuditorsPct,Ecdat,Accountants and Auditors in the US 1850-2016,31,1,0,0,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/AccountantsAuditorsPct.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/AccountantsAuditorsPct.html
Airline,Ecdat,Cost for U.S. Airlines,90,6,0,0,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Airline.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Airline.html
Airq,Ecdat,Air Quality for Californian Metropolitan Areas,30,6,1,0,1,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Airq.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Airq.html
bankingCrises,Ecdat,Countries in Banking Crises,211,71,69,0,0,0,71,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/bankingCrises.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/bankingCrises.html
Benefits,Ecdat,Unemployment of Blue Collar Workers,4877,18,9,0,11,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Benefits.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Benefits.html
Bids,Ecdat,Bids Received By U.S. Firms,126,12,5,0,0,0,12,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Bids.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Bids.html
breaches,Ecdat,Cyber Security Breaches,1055,13,0,2,5,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/breaches.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/breaches.html
BudgetFood,Ecdat,Budget Share of Food for Spanish Households,23972,6,1,0,1,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/BudgetFood.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/BudgetFood.html
BudgetItaly,Ecdat,Budget Shares for Italian Households,1729,11,0,0,0,0,11,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/BudgetItaly.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/BudgetItaly.html
BudgetUK,Ecdat,Budget Shares of British Households,1519,10,1,0,0,0,10,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/BudgetUK.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/BudgetUK.html
Bwages,Ecdat,Wages in Belgium,1472,4,0,0,1,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Bwages.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Bwages.html
Capm,Ecdat,Stock Market Data,516,5,0,0,0,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Capm.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Capm.html
Car,Ecdat,Stated Preferences for Car Choice,4654,70,13,0,13,0,57,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Car.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Car.html
Caschool,Ecdat,The California Test Score Data Set,420,17,1,0,3,0,14,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Caschool.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Caschool.html
Catsup,Ecdat,Choice of Brand for Catsup,2798,14,8,0,1,0,13,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Catsup.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Catsup.html
Cigar,Ecdat,Cigarette Consumption,1380,9,0,0,0,0,9,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Cigar.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Cigar.html
Cigarette,Ecdat,The Cigarette Consumption Panel Data Set,528,9,0,0,1,0,8,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Cigarette.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Cigarette.html
Clothing,Ecdat,Sales Data of Men's Fashion Stores,400,13,0,0,0,0,13,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Clothing.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Clothing.html
Computers,Ecdat,Prices of Personal Computers,6259,10,3,0,3,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Computers.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Computers.html
Consumption,Ecdat,Quarterly Data on Consumption and Expenditure,200,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Consumption.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Consumption.html
coolingFromNuclearWar,Ecdat,Global cooling from a nuclear war,4,5,0,0,0,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/coolingFromNuclearWar.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/coolingFromNuclearWar.html
CPSch3,Ecdat,Earnings from the Current Population Survey,11130,3,1,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/CPSch3.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/CPSch3.html
Cracker,Ecdat,Choice of Brand for Crakers,3292,14,8,0,1,0,13,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Cracker.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Cracker.html
CRANpackages,Ecdat,Growth of CRAN,29,4,0,0,2,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/CRANpackages.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/CRANpackages.html
Crime,Ecdat,Crime in North Carolina,630,24,1,0,2,0,22,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Crime.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Crime.html
CRSPday,Ecdat,Daily Returns from the CRSP Database,2528,7,0,0,0,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/CRSPday.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/CRSPday.html
CRSPmon,Ecdat,Monthly Returns from the CRSP Database,360,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/CRSPmon.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/CRSPmon.html
Diamond,Ecdat,Pricing the C's of Diamond Stones,308,5,0,0,3,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Diamond.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Diamond.html
DM,Ecdat,DM Dollar Exchange Rate,778,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/DM.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/DM.html
Doctor,Ecdat,Number of Doctor Visits,485,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Doctor.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Doctor.html
DoctorAUS,Ecdat,Doctor Visits in Australia,5190,15,1,0,2,0,13,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/DoctorAUS.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/DoctorAUS.html
DoctorContacts,Ecdat,Contacts With Medical Doctor,20186,15,5,0,2,4,9,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/DoctorContacts.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/DoctorContacts.html
Earnings,Ecdat,Earnings for Three Age Groups,4266,2,0,0,1,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Earnings.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Earnings.html
Electricity,Ecdat,Cost Function for Electricity Producers,158,8,0,0,0,0,8,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Electricity.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Electricity.html
Fair,Ecdat,Extramarital Affairs Data,601,9,2,0,2,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Fair.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Fair.html
Fatality,Ecdat,Drunk Driving Laws and Traffic Deaths,336,10,2,0,2,0,8,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Fatality.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Fatality.html
Fishing,Ecdat,Choice of Fishing Mode,1182,12,0,0,1,0,11,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Fishing.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Fishing.html
Forward,Ecdat,Exchange Rates of US Dollar Against Other Currencies,276,9,0,0,0,0,9,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Forward.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Forward.html
FriendFoe,Ecdat,Data from the Television Game Show Friend Or Foe ?,227,13,7,0,8,0,5,https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/FriendFoe.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/FriendFoe.html
